X00,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,F3_00,F3_01,F3_02,F3_03,F3_04,F3_05,F3_06,F3_07,F3_08,F3_09,FA_00,FA_01,FA_02,FA_03,FA_04,FA_05,FA_06,FA_07,FA_08,FA_09,N00,N01,N02,N03,N04,N05,N06,N07,N08,N09,target
0.49671414,-0.1382643,0.64768857,1.5230298,-0.23415338,-0.23413695,1.5792128,0.7674347,-0.46947438,0.54256004,-0.46341768,-0.46572974,0.24196227,-1.9132802,-1.7249179,-0.5622875,-1.0128311,0.31424734,-0.9080241,-1.4123037,0.06390074,0.5994707,0.3976584,-0.07291511,1.260693,0.6203249,0.67973906,0.33445913,-0.2286469,0.56449074,-1.4975257,-0.93876684,-1.086297,-0.7126254,0.9828754,0.68385965,0.6919459,-0.41085216,0.49698403,-0.5063507,-0.51271844,0.505287,-0.24932726,-0.060895324,-1.1230347,1.7471282,-0.34352177,0.23329587,-0.2704532,1.7501183,1.1352892
1.4656488,-0.2257763,0.0675282,-1.4247482,-0.54438275,0.11092259,-1.1509936,0.37569803,-0.6006387,-0.29169375,-0.6017066,1.8522782,-0.013497225,-1.0577109,0.82254493,-1.2208437,0.2088636,-1.9596701,-1.328186,0.19686124,-0.5048181,0.10125818,0.6273925,-0.09823847,0.9507965,0.51698333,0.7191689,0.38994163,0.07139999,0.84656304,1.2995045,-0.9903954,0.6996474,0.70020014,0.72262156,-0.3066003,1.1648474,0.04166715,0.31194118,0.37341785,-0.22900389,1.6115932,-1.6908225,0.05026157,-0.20278984,0.9623229,0.3914681,1.1061279,-0.95270395,0.3020512,5.833532
0.73846656,0.17136829,-0.115648285,-0.30110368,-1.478522,-0.7198442,-0.46063876,1.0571222,0.3436183,-1.7630402,0.32408398,-0.38508227,-0.676922,0.6116763,1.0309995,0.93128014,-0.83921754,-0.3092124,0.33126342,0.9755451,0.67218035,0.1655875,-0.100420356,0.946803,0.73756796,0.19307755,0.7000706,0.5953141,0.40100905,-0.33901152,0.7909378,0.53840375,-0.33788493,-0.8102977,-0.21527436,-0.73054534,0.62583447,0.98093486,0.43419862,-0.28900418,-0.3583545,0.28587982,0.54126626,-0.787292,-0.5090736,-0.367576,-2.6711786,0.9448192,-1.9175757,-0.6229314,2.6115026
-0.47917423,-0.18565898,-1.1063349,-1.1962066,0.8125258,1.35624,-0.07201012,1.0035329,0.361636,-0.6451197,0.3613956,1.5380366,-0.03582604,1.5646436,-2.619745,0.8219025,0.08704707,-0.29900736,0.09176078,-1.9875689,0.6282856,-0.59992254,0.39855418,-0.21596014,0.55205125,-0.26253358,0.7362164,-0.04734962,0.28776315,0.0583011,0.90343124,1.5205485,1.2479033,-0.9389783,-1.8738307,1.0248128,-0.83740133,1.6461692,-1.050152,0.31103033,0.71986216,-1.1099607,0.5787495,2.933403,-1.827103,0.75738966,-0.011610212,0.98347574,-1.012824,0.9245743,0.0051359613
-0.21967189,0.35711256,1.4778941,-0.5182702,-0.8084936,-0.501757,0.9154021,0.32875112,-0.5297602,0.51326746,0.09707755,0.968645,-0.70205307,-0.32766214,-0.39210814,-1.4635149,0.2961203,0.26105526,0.005113457,-0.23458713,-0.0872465,0.83067983,0.5631961,0.44534254,0.15382084,0.339148,0.72710586,0.19230579,0.37150562,0.56239194,-0.8094805,0.48144123,-1.1241748,0.04005549,0.49266452,0.77282107,-0.27583328,0.48738846,0.18942946,1.2533411,0.76178753,-1.0904442,-0.18456888,-0.47341287,0.35381287,-0.7331405,-0.3545778,0.6220423,0.6071827,-0.8531739,-1.8014528
-1.4153707,-0.42064533,-0.34271452,-0.80227727,-0.16128571,0.40405086,1.8861859,0.17457782,0.2575504,-0.07444592,-1.9187713,-0.026513875,0.06023021,2.463242,-0.19236097,0.30154735,-0.03471177,-1.168678,1.1428229,0.75193304,0.1701236,0.8270643,1.0006168,-0.26255447,1.0514882,0.51299226,0.31788424,0.5914513,0.6131051,0.1725267,0.9207774,1.709469,0.9498029,0.7454149,-1.3958926,-0.5717663,-1.4337149,0.15624121,-0.7876963,-0.336222,-0.8903885,0.13484523,0.1935579,0.7292445,-0.20326176,-0.2802483,0.13696212,1.3520967,0.47566402,0.390398,-1.2806782
0.79103196,-0.90938747,1.4027944,-1.401851,0.5868571,2.1904557,-0.99053633,-0.5662977,0.09965137,-0.50347567,-1.5506635,0.06856298,-1.0623037,0.47359243,-0.91942424,1.5499344,-0.7832533,-0.3220615,0.8135172,-1.2308643,0.8969768,1.196377,0.09250575,-0.045367446,0.51197857,0.77363396,-0.019062134,0.6982372,0.62045044,-0.103550315,1.2211518,-0.4531131,1.0477275,-0.18640877,-1.6122881,0.02675566,-1.1799511,0.6173591,-1.1194134,0.4740118,-0.627258,0.35757664,0.795741,1.9087238,0.031876102,1.4666337,-1.907582,-1.215049,-0.2524629,0.6813137,6.80356
0.22745994,1.3071427,-1.6074833,0.18463387,0.2598828,0.78182286,-1.2369508,-1.3204566,0.52194154,0.29698467,0.25049284,0.3464482,-0.68002474,0.2322537,0.29307246,-0.7143514,1.8657745,0.47383294,-1.1913035,0.6565536,-0.06665988,-0.2978154,1.059285,0.4731766,0.20759825,-0.14283897,-0.22485617,0.3976249,-0.17888594,0.47252944,0.21789446,-0.46776718,0.58092004,0.90656054,0.28941014,0.1343353,0.47166395,-0.48562288,0.564842,-0.40246734,-0.7258786,-0.2212736,0.1666767,-1.3428198,-0.17882617,0.3875834,2.6152666,2.2492626,-0.2670387,-0.108076006,-0.6318138
-0.9746817,0.7870846,1.1585956,-0.82068235,0.9633761,0.41278094,0.82206017,1.896793,-0.24538812,-0.75373614,-0.88951445,-0.81581026,-0.07710171,0.34115198,0.2766908,0.82718325,0.013001892,1.4535341,-0.26465684,2.720169,0.49307048,0.69897777,0.3650342,0.087645635,-0.2961797,0.9950722,1.0768685,0.010848078,0.46076518,0.34766263,1.0079925,1.355523,0.79911864,-0.6791273,0.46165225,0.02230988,0.091319814,-0.5398412,-0.79794383,-0.19597122,0.18335204,-1.0790707,0.78085303,0.6111746,0.75327665,0.66152364,0.03250703,1.0603591,-1.771252,-0.9048204,-1.4555459
0.62566733,-0.8571575,-1.0708925,0.48247242,-0.22346279,0.7140005,0.47323763,-0.07282891,-0.8467937,-1.5148473,-0.44651496,0.8563988,0.21409374,-1.2457387,0.17318092,0.3853174,-0.8838574,0.1537251,0.05820872,-1.1429703,0.56817263,-0.38840967,-0.038427882,0.54410535,0.7504332,-0.1504063,0.24457304,0.6579438,0.26622543,-0.07656626,0.233648,-1.3303533,-0.028466156,0.1653308,-0.7346305,-0.4516925,0.37480354,0.66634345,1.0730797,-0.53228736,0.9066948,1.1014153,-1.1679766,0.023162702,0.88146544,1.169625,-1.2171787,-0.16030835,-0.7760563,-0.4545512,3.6253002
