X00,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,F3_00,F3_01,F3_02,F3_03,F3_04,F3_05,F3_06,F3_07,F3_08,F3_09,FA_00,FA_01,FA_02,FA_03,FA_04,FA_05,FA_06,FA_07,FA_08,FA_09,N00,N01,N02,N03,N04,N05,N06,N07,N08,N09,target
0.7493853,0.31635737,1.744596,-1.6049157,-1.4681437,-1.2005494,2.1192925,0.087587975,-0.06801885,0.55547166,-0.9634037,-0.18032147,-0.7100456,0.5405973,-1.3010283,0.4330273,1.0606103,-0.11715218,0.66053194,-1.2916925,0.37624222,-0.25736886,-0.35769376,0.98702747,-0.5144994,-1.0909655,-0.16299614,0.16181728,-0.0932705,-0.56352264,0.078318365,-0.3062377,0.023687234,1.0286157,-0.2960347,-0.23038384,0.3561646,0.68971545,0.08950941,0.28702632,0.011418106,-0.6166965,-1.3873559,1.4103063,-2.5798697,-0.52992666,0.2324208,0.07027725,2.8064742,0.13186331,0
0.3094964,-0.7801282,-0.2980868,-1.4114991,-0.48298103,0.84123343,-0.80472136,0.025181355,-0.5084666,0.19313912,0.34929094,0.5911884,0.31224594,0.73683375,0.5826748,0.23476805,-0.5141122,-3.0736887,-0.31612727,-0.84923095,-0.7511898,-0.544079,0.28167295,-0.023977928,0.33059216,-0.8924124,0.55606157,-1.7291033,-1.2203549,-0.39245886,-0.16611466,-0.032172523,-0.20124179,-0.26390147,0.10623946,0.7066709,-0.03215678,-0.22022708,-0.40553412,-0.6826703,-0.82507145,-0.4468276,-0.6739052,-0.9830404,2.3030715,2.0834885,2.1611626,-1.5490143,-1.292897,-0.62261057,0
0.79679847,-2.7373927,1.0511315,-1.8639531,0.41851097,-0.16473368,0.49266702,0.87029195,2.6112087,1.3717709,1.0585979,1.4453375,0.029293975,0.08065443,-0.65657264,0.3607953,1.1129798,-0.019315045,-0.0006460787,-0.6817453,0.38634828,-0.021912202,1.0023246,0.4595527,0.48814595,-1.1119664,0.37701392,-0.54197186,0.47912166,0.0874471,-0.28704706,0.2709833,-0.30896848,-0.52325624,1.9765542,-0.18457635,0.33516404,0.45312357,1.4834025,-0.20211446,-1.0774549,-0.633625,0.61886925,0.8650306,0.8053341,2.841923,0.3124005,0.6206806,0.7053617,-0.82957846,1
3.0946834,-0.981387,0.7859722,-0.19847682,0.46320754,-1.2733657,0.15155424,-0.6170796,1.7006333,0.7758377,-0.2801704,-0.7239377,-0.56598604,0.5015247,-0.94713634,2.0421116,-1.0517226,-0.6611515,-0.80871975,-1.5576161,1.5176711,-0.48697227,0.2711157,1.1206658,-0.579762,-0.2987198,0.09589919,-0.75513846,-0.42105687,0.23886919,-0.038966183,-0.24307813,-0.24256346,2.13731,-0.040402558,-0.36723608,0.80379516,1.4722183,0.027318358,-0.16158552,-2.8365881,0.955188,1.0531421,-0.21243253,-0.6733601,0.2611259,-0.6947189,-0.77033895,0.6697042,0.038663555,1
1.8905534,-1.8104441,1.6207407,0.031763118,-1.8969283,-0.60546565,-0.06521373,1.2310178,-0.6936169,-0.33597434,-1.5557238,1.2186388,-1.3545856,0.19734487,-0.07542671,0.33742142,0.5986457,1.0271744,0.005553577,-1.8719718,1.4947214,-0.6775729,-0.18777914,0.9443897,-0.15436302,-0.8665798,-0.6303553,0.034776103,1.0193795,-1.2300156,0.2777461,-0.13755758,-0.24810405,0.23876458,-0.3077801,-0.31992462,0.4289583,2.379144,0.6688403,-0.21898279,1.3306895,-0.33789653,-0.029005349,0.55142677,-0.69480807,2.637365,-0.63887423,0.5075535,0.7453909,1.9639505,1
3.0492303,-1.6453768,1.2310734,-0.31838188,0.7273579,-0.045907173,-0.5142673,0.8535303,-3.2963867,-0.3874835,-0.021074984,0.31622213,-0.37788936,-1.7676401,0.37826347,-1.4837326,0.57333463,0.3184857,-0.06297576,1.577168,1.3801099,0.7668288,0.82542855,1.4165757,0.31076145,-0.370414,-1.0094868,-0.19518839,0.34692973,-0.22959077,-0.053990297,-0.048171364,1.2931596,-0.103482,-0.17906785,-0.1510243,-0.005308689,0.0022152616,0.07823735,-0.049022976,-0.16770574,-0.21063764,1.4751477,0.7700276,-0.57201666,-2.2300131,1.8242978,-0.32085934,-0.09400271,-0.26985922,1
2.628129,-2.0847092,-2.5915775,1.3331383,2.2409136,-0.5481479,0.27767646,-1.0100528,-0.9329553,2.9008482,0.38593608,0.039820172,0.064506434,-1.1469506,0.4675307,2.1981752,1.4493431,-0.5281218,-0.7285142,0.6952748,1.5115114,1.2985486,0.43233398,0.9877464,-0.77408737,0.27224872,-0.624495,-0.7736606,-0.37699682,2.1314754,-0.11173588,-0.19735256,0.082751125,0.57389945,0.23912193,0.83923745,0.8520582,0.06304538,0.6501489,-0.17378584,0.8582324,-0.34156758,-0.01753165,-0.016108448,-0.13134561,-0.052044485,2.2151647,-1.681906,-0.957027,-0.23033808,1
1.5163481,-1.1367872,-1.0887164,0.7968297,0.03831163,-0.04204839,0.008537441,0.38478547,-1.334735,-1.0799022,-2.5744112,0.30459827,1.1354866,0.90739983,-0.05979818,-1.3890914,-0.39564672,-0.6701218,0.25582847,-0.31558508,0.18204752,-0.5253229,-0.97094387,0.8744132,-0.82952756,-0.0023359335,-0.26889318,-0.4870876,-0.07764688,-0.5961891,-0.28686976,0.047412004,0.9742559,-0.40886644,0.486269,3.0621827,0.94762564,-0.13303185,-0.34156218,-0.120357275,2.1689832,0.13948502,0.9769168,-0.49076983,1.5991026,-0.68624914,-0.7351171,-2.1916752,0.28621352,-0.43974537,0
1.9073701,-1.4447888,-1.9472278,1.6756113,-1.3806267,-0.8937303,-0.8848254,-0.5932638,0.98208237,0.3608405,-0.49316594,0.4759998,1.3224949,0.32739335,0.2935389,0.84760696,-0.9039002,2.7954679,1.2134464,-0.6100516,2.4133267,-0.35663444,-0.06518016,1.3661249,-1.0279247,-0.21998046,0.34465337,1.762181,1.2832925,-0.9840384,0.7580003,-0.21639675,-0.29179496,0.4765083,0.40926558,-0.2538923,0.76892257,1.3557477,2.5689354,0.36070716,1.570402,1.3371792,0.86720246,0.24752188,-1.720791,-1.3433695,1.4302024,-0.17918585,-0.5417481,0.48311797,1
2.059225,-3.0987713,0.45682496,0.0020962826,0.38276538,-0.45633975,1.2384459,-0.9438735,1.5548148,-0.41540587,-1.856418,-0.5002938,1.0714326,-1.4619544,-1.4748703,0.38338044,-1.0017833,-0.45629412,-0.64835477,0.6768516,0.87570626,0.037538357,-0.55733556,0.9474574,-0.46021962,-0.8113809,-0.8902839,-0.9555817,-0.4802458,-0.58035547,0.7995785,-0.27157393,0.41898793,-0.044994064,0.5756116,0.47788668,0.33611822,0.72973555,-0.33318686,-0.02533912,-0.031685084,0.7509238,0.97414714,-0.49911913,2.9235265,-1.5329871,-0.87403744,0.857489,-0.9865604,0.10658112,1
1.2400244,0.19709218,-2.293604,1.4286892,0.7685579,0.12082321,0.43589416,-0.50824577,-1.2659875,1.7083389,-0.14274845,-1.1923554,0.25224933,0.1880097,1.0849732,-0.5933661,-0.92412245,-1.1253109,-0.8783863,0.7027716,-0.024115214,-0.07082185,0.08736797,0.34591496,-0.6742791,0.977194,0.12428922,-0.6920905,-0.7802608,1.0632973,-0.3095354,0.3868385,0.2104198,0.32377943,0.47645402,2.639566,-0.087456405,-0.07406752,-0.23007199,-0.08958642,-0.07210877,0.037125148,-1.5131413,-0.36800036,-1.7082951,0.440385,0.6296475,-1.0221529,1.4329078,-0.87905234,0
1.9485322,-0.16356212,0.61365014,-0.5494139,2.3274953,-0.13658926,-2.0161421,0.81673175,-0.51394403,-0.29654273,-0.24397433,0.33063707,-0.7138845,-0.39482215,-0.00392961,1.5549153,-0.86394787,-0.6020245,0.9358206,0.63244116,1.0020065,0.20969668,0.50575006,1.1343447,0.021588987,0.17223431,-0.34946194,0.0038312192,-0.04839942,0.9408284,-0.0041321735,0.2139072,-0.3231867,1.4330388,-0.036025714,-0.33731052,2.0018704,0.3066015,-0.12762234,-0.3769979,-0.8713449,-0.62071776,1.2555193,0.52597076,-2.0368326,1.7688235,0.7916972,-0.26721063,-0.8377354,1.4451582,1
1.6605668,-1.7474358,1.4562278,-0.0433021,0.07132765,0.05423049,0.102709524,0.8316252,-0.4013301,-2.3340688,-0.36226586,-0.06557885,0.061643664,-0.6443871,-1.8570921,0.6158401,0.7391983,-1.6849637,-0.2526849,-0.852081,0.08887016,-0.107207276,0.39665154,0.7722642,0.44570336,-0.4718529,-0.40620288,-1.2496654,-0.51080817,-1.1001652,-0.17938691,-0.3191869,-0.27373716,-0.3380392,-0.38940337,-0.14393781,-0.13207032,-0.16322507,-0.21660814,0.727591,1.0440128,-0.8411587,-0.13624452,-1.6726853,0.11823064,0.44032323,0.00016602913,1.5985764,1.4479809,0.28012323,1
1.7827458,-1.3904139,-2.1348083,1.1419951,0.41877732,-0.31172425,-1.18694,-1.1968539,-0.34298387,-1.9289632,1.7061256,-0.7156802,-0.04183966,-0.38047162,0.2767715,1.0846034,-2.659919,0.69479793,-0.10373702,1.1541756,1.4333197,-0.24934895,0.65748274,0.60673696,-0.33771712,0.0703954,0.2607423,0.09326179,-0.134611,-0.6889996,-0.18844469,-0.2648513,0.19441871,1.7917094,-0.0033126106,0.42743784,-0.19010022,0.54009765,0.15826428,-0.054330237,0.9997992,-1.2175812,1.6928724,-0.46914646,0.03671445,-0.49531507,-2.3798718,-1.8343313,-1.0378358,-0.68194896,1
